Date,24h Average,Ask,Bid,Last,Total Volume
7/28/2016,658.84,659.64,658.59,659.46,25145.6
7/27/2016,657.03,658.33,657.81,658.2,42261.27
7/26/2016,655.86,657.26,656.56,657.15,46804.25
7/25/2016,658.42,657.75,657.48,657.63,34190.29
7/24/2016,660.31,662.62,661.98,662.19,35674.12
7/23/2016,655.82,657.56,656.74,657.32,35918.05
7/22/2016,664.69,649.54,648.96,649.1,53703.06
7/21/2016,667.24,668.17,667.77,668.11,29696.95
7/20/2016,673.41,668.75,667.93,668.12,33304.48
7/19/2016,673.97,677,676.48,676.6,27709.05
7/18/2016,678.41,675.65,675.19,675.5,45421.26
7/17/2016,673.45,678.97,678.23,678.62,38812.15
7/16/2016,668.21,666.55,666.03,666.13,20248.28
7/15/2016,666.03,666.55,666.22,666.69,40201.17
7/14/2016,659.9,661.32,660.95,661.06,52270.97
7/13/2016,664.89,663.09,662.56,662.96,83824.76
7/12/2016,659.41,675.45,674.95,675.08,70689.58
7/11/2016,651.39,649.93,649.22,649.22,40483.1
7/10/2016,648.28,650.2,649.73,650.05,44244.01
7/9/2016,652.6,652.48,651.75,652.17,121048.88
7/8/2016,646.56,660.85,660.29,660.47,71907.85
7/7/2016,645.91,635.04,634.63,635.12,146905.35
7/6/2016,675.02,677.42,677.04,677.28,41015.85
7/5/2016,673.44,668.15,667.19,667.74,46743
7/4/2016,670.02,677,676.5,676.65,49892.44
7/3/2016,677.67,663.79,663.27,663.16,86947.77
7/2/2016,687.57,700.42,700.04,700.11,64791.67
7/1/2016,677.25,680.22,679.23,680.1,92358.46
6/30/2016,653.61,671.27,670.51,671.03,97487.29
6/29/2016,636.95,638.99,638.26,638.86,107527.62
6/28/2016,650.04,648.62,648.12,648.36,86722.76
6/27/2016,639.21,646.93,646.47,646.58,93056.97
6/26/2016,644.1,631.87,631.16,631.14,81034.06
6/25/2016,673.12,670.7,670.19,670.56,97772.29
6/24/2016,653.79,660.43,659.88,660.16,181911.99
6/23/2016,591.56,626.24,625.78,625.87,245502.42
6/22/2016,655.75,602.44,600.92,601.09,177853.95
6/21/2016,685.97,656.69,655.86,656.49,218869.14
6/20/2016,751.32,730.95,729.91,730.44,48916.03
6/19/2016,756.54,763.98,763.23,763.58,53824.24
6/18/2016,751.6,755.44,754.88,754.96,114364.64
6/17/2016,749.73,742.19,741.68,741.81,173949.07
6/16/2016,737.31,772.02,771.62,771.91,218671.63
6/15/2016,685.07,693.9,693.33,693.62,70185.7
6/14/2016,688.51,684.9,684.52,684.81,124580.91
6/13/2016,687.35,699.87,699.52,699.76,217843.9
6/12/2016,637.74,680.66,679.44,680.11,211822.09
6/11/2016,585.93,592.25,591.58,592.16,33030.92
6/10/2016,579.18,579.85,579.57,579.86,41929.11
6/9/2016,580.2,578.17,578.01,578.08,48742.59
6/8/2016,578.68,584.72,584.36,584.62,48904.73
6/7/2016,584.2,576.67,576.38,576.53,80994.41
6/6/2016,582.55,585.62,585.22,585.4,59238.77
6/5/2016,576.8,576.97,576.57,576.68,53182.47
6/4/2016,574.56,572.39,572.15,572.3,78613.53
6/3/2016,557.3,569.12,568.53,568.9,107828.49
6/2/2016,538.52,542.21,541.91,542.06,49993.74
6/1/2016,534.37,539.11,538.92,538.95,64036.8
5/31/2016,536.84,533.47,533.11,533.29,109963.11
5/30/2016,534.27,534.67,534.39,534.68,77092.08
5/29/2016,525.42,521.3,518.9,519.13,137960.84
5/28/2016,496.33,529.88,529,529.48,137876.96
5/27/2016,472.56,474.26,473.99,474.04,131483.58
5/26/2016,454.49,455.94,455.67,455.88,36151.5
5/25/2016,451.84,452.64,452.34,452.41,38692.82
5/24/2016,449.84,449.22,449.02,449.1,34845.16
5/23/2016,443.54,446.1,445.86,446.05,36676.34
5/22/2016,445.43,441.71,441.32,441.5,27356.59
5/21/2016,446.04,446.16,445.72,446.13,25358.68
5/20/2016,443.79,443.76,443.36,443.53,56435.84
5/19/2016,454.32,445.4,444.73,444.96,58369.65
5/18/2016,458.5,458.03,457.75,458,32423.31
5/17/2016,457.56,456.13,455.75,455.87,36078.52
5/16/2016,459.39,457.41,457.13,457.38,38912.05
5/15/2016,461.33,462.24,462.12,462.22,20697.45
5/14/2016,459.09,459.88,459.42,459.6,22780.41
5/13/2016,457.57,458.37,458.13,458.23,34620.46
5/12/2016,454.27,456.4,456.12,456.2,49866.2
5/11/2016,455.43,455.09,454.62,454.66,45950.92
5/10/2016,459.3,452.72,452.39,452.66,61169.77
5/9/2016,462.49,468.71,468.45,468.6,51512.82
5/8/2016,461.85,461.68,461.3,461.37,28018.66
5/7/2016,460.86,461.55,461.19,461.34,32678.8
5/6/2016,453.51,461.94,461.44,461.82,71608.96
5/5/2016,449.31,450.02,449.74,449.89,42764.87
5/4/2016,449.32,448.73,448.15,448.38,42114.3
5/3/2016,447.93,452.33,451.85,452.18,53282.65
5/2/2016,448,445.9,445.23,445.59,76525.26
5/1/2016,452.87,454.26,453.69,454.01,23224.58
4/30/2016,454.88,450.91,450.54,450.84,37474.66
4/29/2016,451.88,455.91,455.64,455.82,46612.85
4/28/2016,445.8,449.09,448.8,448.93,85355.56
4/27/2016,461.92,449.34,448.82,448.96,92342.27
4/26/2016,465.91,467.79,467.46,467.52,74809.78
4/25/2016,460.32,465.46,464.93,465.03,79983.48
4/24/2016,455.53,460.08,459.67,459.9,64438.42
4/23/2016,449.13,453.11,452.85,452.99,37411.6
4/22/2016,447.73,447.55,447.4,447.52,53255.85
4/21/2016,445.28,450.88,450.54,450.76,66253.3
4/20/2016,438.98,442.71,442.48,442.68,80876.64
4/19/2016,432.35,436.06,435.72,435.9,41449.89
4/18/2016,429.76,430.79,430.34,430.63,41173.92
4/17/2016,431.93,429.2,428.92,429.07,29386.22
4/16/2016,432.86,433.13,432.94,433.07,31854.69
4/15/2016,429.06,431.07,430.91,431,53325.62
4/14/2016,426.21,424.15,423.85,424.02,30435.02
4/13/2016,425.5,424.31,423.94,424.12,38460.14
4/12/2016,426.15,426.37,426.11,426.18,60584.56
4/11/2016,422.91,424.67,424.47,424.62,37352.56
4/10/2016,422.23,422.61,422.3,422.43,22977.98
4/9/2016,419.26,420.23,420.07,420.17,29842.6
4/8/2016,423.97,420.76,420.36,420.55,47613.36
4/7/2016,423.71,422.96,422.77,422.82,40190.14
4/6/2016,424.68,424.33,424.21,424.14,36985.81
4/5/2016,423.85,424.17,423.92,424.02,42855.01
4/4/2016,420.61,421.69,421.4,421.5,36971.72
4/3/2016,421.45,421.76,421.46,421.67,25213.27
4/2/2016,421.46,420.8,420.62,420.71,32471.25
4/1/2016,417.76,418.11,417.8,417.94,39279.54
3/31/2016,417.46,418.31,418.07,418.23,45054.59
3/30/2016,415.11,415.08,414.79,414.88,48120.59
3/29/2016,420.9,417.33,417.01,417.13,72262.58
3/28/2016,424.77,425.01,424.73,424.85,45291.15
3/27/2016,422.48,425.31,425.19,425.28,60202.83
3/26/2016,421.05,418.91,418.56,418.84,29382.13
3/25/2016,420.86,419.27,419.03,419.1,35238
3/24/2016,419.98,418.02,417.81,417.94,41755.66
3/23/2016,420.12,420.76,420.55,420.67,40216.59
3/22/2016,418.88,419.06,418.85,418.91,51006.62
3/21/2016,411.87,414.49,414.28,414.49,44211.31
3/20/2016,413.48,414.25,413.89,414.07,32834.29
3/19/2016,410.67,410.31,410.11,410.22,36542.79
3/18/2016,417.15,410.34,410.03,410.15,67299.35
3/17/2016,421.7,422.49,422.24,422.35,44242.37
3/16/2016,419.49,419.71,419.38,419.43,46292.11
3/15/2016,419.17,418.65,418.4,418.5,49138.15
3/14/2016,415.91,417.21,416.9,417.24,48765.48
3/13/2016,415.06,414.49,414.08,414.25,35430.64
3/12/2016,416.61,412.16,411.75,412.06,59589.02
3/11/2016,421.82,422.27,422.03,422.29,59996.34
3/10/2016,416.55,418.63,418.4,418.58,57669.22
3/9/2016,414.65,415.32,414.97,415.46,47203.55
3/8/2016,415.34,414.27,414.06,414.27,52519.4
3/7/2016,410.59,415.06,414.77,415.04,62773.54
3/6/2016,404.88,407.09,406.82,407.05,60091.99
3/5/2016,404.31,399.26,398.94,399.26,125904.3
3/4/2016,421.22,410.43,410.01,410.09,75976.31
3/3/2016,422.5,421.4,421.05,421.18,79221.49
3/2/2016,433.67,424.48,423.93,424.37,60944.32
3/1/2016,436.22,436.14,435.83,436.18,70927.22
2/29/2016,437.76,438.14,437.79,438.2,71632.02
2/28/2016,431.57,434.61,434.37,434.4,51404.29
2/27/2016,434.59,434.78,434.5,434.91,42913.49
2/26/2016,426.16,434.54,434.16,434.29,57460.16
2/25/2016,424.41,423.85,423.51,423.92,52060.77
2/24/2016,423.45,426.39,426.28,426.41,68687.54
2/23/2016,429.96,421.92,421.57,421.83,96084.35
2/22/2016,438.44,440.83,440.07,440.91,58077.11
2/21/2016,439.84,439.97,439.86,439.87,102313.91
2/20/2016,431.45,437.95,437.52,437.86,113901.82
2/19/2016,420.47,420.63,420.37,420.62,52802.46
2/18/2016,420.62,421.92,421.6,421.85,76148.78
2/17/2016,415.46,417.2,417.04,417.35,94111.27
2/16/2016,404.48,407.44,407.16,407.5,69341.67
2/15/2016,404.56,401.09,400.77,400.94,84235.71
2/14/2016,400.55,407.63,407.47,407.6,76649.65
2/13/2016,390.47,393.08,392.85,392.98,48089.83
2/12/2016,383.37,386.95,386.7,386.94,57940.78
2/11/2016,379.49,379.1,378.85,379.02,68626.24
2/10/2016,380.59,381.33,381.11,381.54,97161.91
2/9/2016,374.06,374.88,374.57,374.85,57023.96
2/8/2016,377.53,373.54,373.35,373.49,64977.65
2/7/2016,378.12,377.12,376.96,377.1,41364.04
