months_as_customer,age,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
328,48,OH,1406.91,MALE,MD,craft-repair,Single Vehicle Collision,Major Damage,Police,SC,1,1,2,71610,6510,13020,52080,Saab,2004,Y
228,42,IN,1197.22,MALE,MD,machine-op-inspct,Vehicle Theft,Minor Damage,Police,VA,1,0,0,5070,780,780,3510,Mercedes,2007,Y
134,29,OH,1413.14,FEMALE,PhD,sales,Multi-vehicle Collision,Minor Damage,Police,NY,3,2,3,34650,7700,3850,23100,Dodge,2007,N
256,41,IL,1415.74,FEMALE,PhD,armed-forces,Single Vehicle Collision,Major Damage,Police,OH,1,1,2,63400,6340,6340,50720,Chevrolet,2014,Y
228,44,IL,1583.91,MALE,Associate,sales,Vehicle Theft,Minor Damage,None,NY,1,0,1,6500,1300,650,4550,Accura,2009,N
256,39,OH,1351.1,FEMALE,PhD,tech-support,Multi-vehicle Collision,Major Damage,Fire,SC,3,0,2,64100,6410,6410,51280,Saab,2003,Y
137,34,IN,1333.35,MALE,PhD,prof-specialty,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,0,78650,21450,7150,50050,Nissan,2012,N
165,37,IL,1137.03,MALE,Associate,tech-support,Multi-vehicle Collision,Total Loss,Police,VA,3,2,2,51590,9380,9380,32830,Audi,2015,N
27,33,IL,1442.99,FEMALE,PhD,other-service,Single Vehicle Collision,Total Loss,Police,WV,1,1,1,27700,2770,2770,22160,Toyota,2012,N
212,42,IL,1315.68,MALE,PhD,priv-house-serv,Single Vehicle Collision,Total Loss,Other,NC,1,2,1,42300,4700,4700,32900,Saab,1996,N
235,42,OH,1253.12,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Total Loss,Police,NY,1,2,2,87010,7910,15820,63280,Ford,2002,N
447,61,OH,1137.16,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Major Damage,Fire,SC,3,1,2,114920,17680,17680,79560,Audi,2006,N
60,23,OH,1215.36,MALE,MD,protective-serv,Single Vehicle Collision,Total Loss,Ambulance,SC,1,1,0,56520,4710,9420,42390,Saab,2000,N
121,34,OH,936.61,FEMALE,MD,armed-forces,Parked Car,Minor Damage,None,SC,1,1,1,7280,1120,1120,5040,Toyota,2010,N
